 -0.71330367E+00 -0.67833780E+00
 -0.68477152E+00 -0.67833780E+00
 -0.65623938E+00 -0.67833780E+00
 -0.62770723E+00 -0.67833780E+00
 -0.59917508E+00 -0.67833780E+00
 -0.57064294E+00 -0.67833780E+00
 -0.54211079E+00 -0.67833780E+00
 -0.51357864E+00 -0.67833780E+00
 -0.48504650E+00 -0.67833780E+00
 -0.45651435E+00 -0.67833780E+00
 -0.42798220E+00 -0.67833780E+00
 -0.39945006E+00 -0.67833780E+00
 -0.37091791E+00 -0.67833780E+00
 -0.34238576E+00 -0.67833780E+00
 -0.31385361E+00 -0.67833780E+00
 -0.28532147E+00 -0.67833780E+00
 -0.25678932E+00 -0.67833780E+00
 -0.22825717E+00 -0.67833780E+00
 -0.19972503E+00 -0.67833780E+00
 -0.17119288E+00 -0.67833780E+00
 -0.14266073E+00 -0.67833780E+00
 -0.11412859E+00 -0.67833780E+00
 -0.85596440E-01 -0.67833780E+00
 -0.57064294E-01 -0.67833780E+00
 -0.28532147E-01 -0.67833780E+00
  0.00000000E+00 -0.67833780E+00
  0.28532147E-01 -0.67833780E+00
  0.57064294E-01 -0.67833780E+00
  0.85596440E-01 -0.67833780E+00
  0.11412859E+00 -0.67833780E+00
  0.14266073E+00 -0.67833780E+00
  0.17119288E+00 -0.67833780E+00
  0.19972503E+00 -0.67833780E+00
  0.22825717E+00 -0.67833780E+00
  0.25678932E+00 -0.67833780E+00
  0.28532147E+00 -0.67833780E+00
  0.31385361E+00 -0.67833780E+00
  0.34238576E+00 -0.67833780E+00
  0.37091791E+00 -0.67833780E+00
  0.39945006E+00 -0.67833780E+00
  0.42798220E+00 -0.67833780E+00
  0.45651435E+00 -0.67833780E+00
  0.48504650E+00 -0.67833780E+00
  0.51357864E+00 -0.67833780E+00
  0.54211079E+00 -0.67833780E+00
  0.57064294E+00 -0.67833780E+00
  0.59917508E+00 -0.67833780E+00
  0.62770723E+00 -0.67833780E+00
  0.65623938E+00 -0.67833780E+00
  0.68477152E+00 -0.67833780E+00
  0.71330367E+00 -0.67833780E+00
 -0.71330367E+00 -0.65120429E+00
 -0.68477152E+00 -0.65120429E+00
 -0.65623938E+00 -0.65120429E+00
 -0.62770723E+00 -0.65120429E+00
 -0.59917508E+00 -0.65120429E+00
 -0.57064294E+00 -0.65120429E+00
 -0.54211079E+00 -0.65120429E+00
 -0.51357864E+00 -0.65120429E+00
 -0.48504650E+00 -0.65120429E+00
 -0.45651435E+00 -0.65120429E+00
 -0.42798220E+00 -0.65120429E+00
 -0.39945006E+00 -0.65120429E+00
 -0.37091791E+00 -0.65120429E+00
 -0.34238576E+00 -0.65120429E+00
 -0.31385361E+00 -0.65120429E+00
 -0.28532147E+00 -0.65120429E+00
 -0.25678932E+00 -0.65120429E+00
 -0.22825717E+00 -0.65120429E+00
 -0.19972503E+00 -0.65120429E+00
 -0.17119288E+00 -0.65120429E+00
 -0.14266073E+00 -0.65120429E+00
 -0.11412859E+00 -0.65120429E+00
 -0.85596440E-01 -0.65120429E+00
 -0.57064294E-01 -0.65120429E+00
 -0.28532147E-01 -0.65120429E+00
  0.00000000E+00 -0.65120429E+00
  0.28532147E-01 -0.65120429E+00
  0.57064294E-01 -0.65120429E+00
  0.85596440E-01 -0.65120429E+00
  0.11412859E+00 -0.65120429E+00
  0.14266073E+00 -0.65120429E+00
  0.17119288E+00 -0.65120429E+00
  0.19972503E+00 -0.65120429E+00
  0.22825717E+00 -0.65120429E+00
  0.25678932E+00 -0.65120429E+00
