  0.00000000E+00  0.44608409E+01
  0.34595228E-02  0.44608846E+01
  0.69190456E-02  0.44610156E+01
  0.10378568E-01  0.44612340E+01
  0.13838091E-01  0.44615398E+01
  0.17297614E-01  0.44619330E+01
  0.20757137E-01  0.44624136E+01
  0.24216660E-01  0.44629817E+01
  0.27676182E-01  0.44636372E+01
  0.31135705E-01  0.44643801E+01
  0.34595228E-01  0.44652106E+01
  0.38054751E-01  0.44661285E+01
  0.41514274E-01  0.44671339E+01
  0.44973796E-01  0.44682268E+01
  0.48433319E-01  0.44694071E+01
  0.51892842E-01  0.44706748E+01
  0.55352365E-01  0.44720298E+01
  0.58811888E-01  0.44734720E+01
  0.62271410E-01  0.44750014E+01
  0.65730933E-01  0.44766178E+01
  0.69190456E-01  0.44783211E+01
  0.72649979E-01  0.44801112E+01
  0.76109502E-01  0.44819878E+01
  0.79569024E-01  0.44839509E+01
  0.83028547E-01  0.44860001E+01
  0.86488070E-01  0.44881353E+01
  0.89947593E-01  0.44903563E+01
  0.93407116E-01  0.44926629E+01
  0.96866638E-01  0.44950547E+01
  0.10032616E+00  0.44975316E+01
  0.10378568E+00  0.45000934E+01
  0.10724521E+00  0.45027397E+01
  0.11070473E+00  0.45054704E+01
  0.11416425E+00  0.45082852E+01
  0.11762378E+00  0.45111839E+01
  0.12108330E+00  0.45141662E+01
  0.12454282E+00  0.45172319E+01
  0.12800234E+00  0.45203809E+01
  0.13146187E+00  0.45236128E+01
  0.13492139E+00  0.45269275E+01
  0.13838091E+00  0.45303248E+01
  0.14184043E+00  0.45338045E+01
  0.14529996E+00  0.45373664E+01
  0.14875948E+00  0.45410102E+01
  0.15221900E+00  0.45447357E+01
  0.15567853E+00  0.45485428E+01
  0.15913805E+00  0.45524312E+01
  0.16259757E+00  0.45564007E+01
  0.16605709E+00  0.45604511E+01
  0.16951662E+00  0.45645820E+01
  0.17297614E+00  0.45687932E+01
  0.17643566E+00  0.45730845E+01
  0.17989519E+00  0.45774554E+01
  0.18335471E+00  0.45819058E+01
  0.18681423E+00  0.45864351E+01
  0.19027375E+00  0.45910432E+01
  0.19373328E+00  0.45957295E+01
  0.19719280E+00  0.46004937E+01
  0.20065232E+00  0.46053353E+01
  0.20411185E+00  0.46102540E+01
  0.20757137E+00  0.46152492E+01
