R                               1         0.0000000000      0.0000000000      0.5000000000      0.5000000000
Y                             201         0.9998274045      0.0000000000      0.5000000000      0.0000000000
G                             337         1.6780255791      0.0000000000      0.0000000000      0.0000000000
X                             480         2.3913292490      0.5000000000      0.0000000000      0.0000000000
M                             616         3.0695274236      0.5000000000      0.5000000000      0.0000000000
G                             813         4.0537808918      0.0000000000      0.0000000000      0.0000000000
M                            1010         5.0380343599     -0.5000000000      0.5000000000      0.0000000000
A                            1210         6.0378617644     -0.5000000000      0.5000000000      0.5000000000
Z                            1407         7.0221152325      0.0000000000      0.0000000000      0.5000000000
R                            1550         7.7354189024      0.5000000000      0.0000000000      0.5000000000
A                            1686         8.4136170770      0.5000000000      0.5000000000      0.5000000000
