 &plot nbnd=  34, nks=   361 /
            0.000000  0.490095  0.722518
  -60.795  -60.214  -31.201  -30.736  -30.625  -30.393  -30.286  -30.058   -6.208   -6.197
   -5.649   -5.643    5.279    5.469    6.185    6.197    7.731    7.745    8.188    8.457
    8.577    8.594    9.819    9.886   10.702   11.066   11.473   11.813   13.919   13.927
   14.646   14.890   17.831   17.890
            0.000000  0.490095  0.705315
  -60.795  -60.214  -31.201  -30.736  -30.625  -30.393  -30.286  -30.058   -6.208   -6.197
   -5.649   -5.644    5.282    5.471    6.184    6.197    7.727    7.741    8.183    8.450
    8.579    8.601    9.818    9.884   10.706   11.069   11.477   11.817   13.918   13.926
   14.647   14.891   17.829   17.888
            0.000000  0.490095  0.688113
  -60.795  -60.214  -31.201  -30.736  -30.625  -30.393  -30.285  -30.058   -6.207   -6.196
   -5.652   -5.647    5.289    5.479    6.183    6.195    7.714    7.729    8.171    8.431
    8.586    8.618    9.814    9.877   10.718   11.078   11.488   11.826   13.915   13.921
   14.650   14.894   17.824   17.884
            0.000000  0.490095  0.670910
  -60.795  -60.214  -31.201  -30.734  -30.625  -30.393  -30.284  -30.058   -6.206   -6.195
   -5.656   -5.651    5.302    5.491    6.181    6.192    7.693    7.709    8.153    8.407
    8.595    8.640    9.808    9.867   10.737   11.093   11.506   11.843   13.909   13.914
   14.656   14.899   17.816   17.876
            0.000000  0.490095  0.653707
  -60.795  -60.214  -31.202  -30.733  -30.626  -30.394  -30.283  -30.059   -6.204   -6.193
   -5.662   -5.657    5.320    5.509    6.179    6.188    7.664    7.681    8.130    8.381
    8.606    8.663    9.802    9.854   10.763   11.113   11.530   11.865   13.902   13.903
   14.664   14.907   17.804   17.866
            0.000000  0.490095  0.636504
  -60.795  -60.214  -31.202  -30.731  -30.626  -30.394  -30.281  -30.059   -6.202   -6.191
   -5.669   -5.664    5.343    5.531    6.176    6.184    7.626    7.646    8.105    8.354
    8.616    8.685    9.795    9.839   10.794   11.138   11.560   11.892   13.889   13.892
   14.674   14.917   17.790   17.852
            0.000000  0.490095  0.619301
  -60.796  -60.214  -31.202  -30.729  -30.626  -30.394  -30.278  -30.060   -6.200   -6.189
   -5.677   -5.672    5.370    5.558    6.173    6.178    7.582    7.604    8.077    8.328
    8.624    8.705    9.790    9.824   10.830   11.167   11.596   11.924   13.873   13.880
   14.687   14.929   17.773   17.837
            0.000000  0.490095  0.602099
  -60.796  -60.214  -31.202  -30.726  -30.627  -30.394  -30.275  -30.060   -6.197   -6.186
   -5.687   -5.682    5.402    5.589    6.169    6.172    7.530    7.556    8.049    8.302
    8.628    8.722    9.787    9.808   10.870   11.198   11.636   11.960   13.853   13.866
   14.703   14.943   17.753   17.818
            0.000000  0.490095  0.584896
  -60.796  -60.215  -31.202  -30.723  -30.627  -30.394  -30.272  -30.061   -6.195   -6.184
   -5.697   -5.693    5.439    5.624    6.166    6.166    7.473    7.502    8.020    8.276
    8.630    8.735    9.786    9.793   10.913   11.232   11.680   11.999   13.831   13.851
   14.721   14.961   17.730   17.797
            0.000000  0.490095  0.567693
  -60.796  -60.215  -31.202  -30.719  -30.628  -30.395  -30.269  -30.061   -6.192   -6.182
   -5.708   -5.704    5.480    5.663    6.160    6.164    7.410    7.443    7.990    8.251
    8.627    8.745    9.781    9.789   10.959   11.268   11.726   12.041   13.806   13.834
   14.743   14.982   17.705   17.774
            0.000000  0.490095  0.550490
  -60.796  -60.215  -31.203  -30.716  -30.629  -30.395  -30.265  -30.062   -6.190   -6.180
   -5.720   -5.716    5.525    5.705    6.153    6.162    7.344    7.380    7.960    8.226
    8.620    8.750    9.772    9.796   11.007   11.304   11.774   12.084   13.778   13.816
   14.768   15.005   17.678   17.749
            0.000000  0.490095  0.533287
  -60.797  -60.215  -31.203  -30.711  -30.629  -30.395  -30.261  -30.063   -6.188   -6.179
   -5.732   -5.728    5.574    5.749    6.147    6.161    7.275    7.314    7.930    8.201
    8.608    8.749    9.767    9.806   11.057   11.341   11.823   12.127   13.748   13.797
   14.796   15.032   17.649   17.722
            0.000000  0.490095  0.516084
  -60.797  -60.215  -31.203  -30.707  -30.630  -30.396  -30.256  -30.064   -6.187   -6.178
   -5.744   -5.740    5.625    5.795    6.142    6.163    7.203    7.245    7.899    8.175
    8.592    8.744    9.766    9.819   11.108   11.377   11.871   12.171   13.716   13.777
   14.828   15.063   17.618   17.694
            0.000000  0.490095  0.498882
  -60.797  -60.216  -31.203  -30.702  -30.631  -30.396  -30.251  -30.064   -6.187   -6.179
   -5.755   -5.751    5.680    5.841    6.138    6.168    7.131    7.175    7.869    8.149
    8.572    8.734    9.771    9.836   11.161   11.413   11.919   12.214   13.681   13.757
   14.864   15.097   17.586   17.664
            0.000000  0.490095  0.481679
  -60.797  -60.216  -31.204  -30.697  -30.632  -30.396  -30.246  -30.065   -6.189   -6.181
   -5.765   -5.762    5.735    5.885    6.135    6.177    7.059    7.105    7.839    8.123
    8.549    8.718    9.780    9.856   11.214   11.447   11.965   12.256   13.645   13.736
   14.904   15.135   17.552   17.633
            0.000000  0.490095  0.464476
  -60.798  -60.216  -31.204  -30.692  -30.633  -30.397  -30.241  -30.066   -6.192   -6.185
   -5.774   -5.771    5.792    5.925    6.135    6.192    6.989    7.034    7.809    8.095
    8.521    8.697    9.794    9.879   11.268   11.479   12.009   12.296   13.607   13.716
   14.947   15.176   17.518   17.601
            0.000000  0.490095  0.447273
  -60.798  -60.217  -31.204  -30.686  -30.634  -30.397  -30.235  -30.067   -6.197   -6.191
   -5.781   -5.779    5.847    5.959    6.139    6.213    6.921    6.965    7.780    8.067
    8.490    8.672    9.813    9.905   11.322   11.509   12.049   12.333   13.568   13.696
   14.994   15.222   17.483   17.569
            0.000000  0.490095  0.430070
  -60.798  -60.217  -31.205  -30.681  -30.634  -30.398  -30.230  -30.068   -6.204   -6.198
   -5.787   -5.786    5.898    5.987    6.148    6.238    6.859    6.899    7.752    8.039
    8.456    8.642    9.836    9.932   11.376   11.537   12.086   12.367   13.528   13.677
   15.046   15.271   17.447   17.536
            0.000000  0.490095  0.412868
  -60.798  -60.217  -31.205  -30.675  -30.635  -30.398  -30.224  -30.069   -6.213   -6.208
   -5.791   -5.790    5.943    6.008    6.165    6.265    6.806    6.837    7.725    8.009
    8.419    8.609    9.863    9.962   11.430   11.560   12.119   12.397   13.487   13.659
   15.101   15.324   17.411   17.503
            0.000000  0.490095  0.395665
  -60.799  -60.218  -31.205  -30.669  -30.636  -30.399  -30.218  -30.070   -6.224   -6.220
