R                               1         0.0000000000      0.0000000000      0.5000000000      0.5000000000
Y                             201         1.0039489652      0.0000000000      0.5000000000      0.0000000000
G                             340         1.7008159144      0.0000000000      0.0000000000      0.0000000000
X                             476         2.3858699339      0.5000000000      0.0000000000      0.0000000000
M                             615         3.0827368832      0.5000000000      0.5000000000      0.0000000000
G                             810         4.0599382722      0.0000000000      0.0000000000      0.0000000000
M                            1005         5.0371396612     -0.5000000000      0.5000000000      0.0000000000
A                            1205         6.0410886263     -0.5000000000      0.5000000000      0.5000000000
Z                            1400         7.0182900153      0.0000000000      0.0000000000      0.5000000000
R                            1536         7.7033440349      0.5000000000      0.0000000000      0.5000000000
A                            1675         8.4002109841      0.5000000000      0.5000000000      0.5000000000
