  0.10048046E-05  0.40836918E-06  0.24113325E-06
  0.55994046E-02 -0.55903419E-02 -0.44186987E-02
  0.11202100E-01 -0.11185517E-01 -0.84686706E-02
  0.16805678E-01 -0.16781847E-01 -0.11804458E-01
  0.22392146E-01 -0.22361509E-01 -0.14126771E-01
  0.27923625E-01 -0.27886827E-01 -0.15201351E-01
  0.33339171E-01 -0.33297077E-01 -0.14873741E-01
  0.38554015E-01 -0.38507712E-01 -0.13078783E-01
  0.43461351E-01 -0.43412118E-01 -0.98442352E-02
  0.47936597E-01 -0.47885850E-01 -0.52883445E-02
  0.51843936E-01 -0.51793153E-01  0.38839449E-03
  0.55044859E-01 -0.54995490E-01  0.69166705E-02
  0.57408281E-01 -0.57361666E-01  0.13976004E-01
  0.58821707E-01 -0.58779001E-01  0.21215374E-01
  0.59202638E-01 -0.59164769E-01  0.28275418E-01
  0.58509249E-01 -0.58476890E-01  0.34810695E-01
  0.56749087E-01 -0.56722660E-01  0.40510569E-01
  0.53984495E-01 -0.53964196E-01  0.45117360E-01
  0.50333539E-01 -0.50319371E-01  0.48440641E-01
  0.45965534E-01 -0.45957349E-01  0.50366843E-01
  0.41090881E-01 -0.41088419E-01  0.50863653E-01
  0.35945634E-01 -0.35948556E-01  0.49979078E-01
  0.30772050E-01 -0.30779964E-01  0.47835360E-01
  0.25797116E-01 -0.25809597E-01  0.44618343E-01
  0.21211525E-01 -0.21228127E-01  0.40563104E-01
  0.17151738E-01 -0.17172004E-01  0.35936963E-01
  0.13687523E-01 -0.13710993E-01  0.31021100E-01
  0.10816752E-01 -0.10842966E-01  0.26092061E-01
  0.84682973E-02 -0.84968023E-02  0.21404430E-01
  0.65128521E-02 -0.65432015E-02  0.17175796E-01
  0.47804253E-02 -0.48121831E-02  0.13574935E-01
  0.30824464E-02 -0.31151885E-02  0.10713902E-01
  0.12358308E-02 -0.12691486E-02  0.86443674E-02
 -0.91381602E-03  0.88031048E-03  0.73582704E-02
 -0.34725085E-02  0.34391759E-02  0.67925208E-02
 -0.64838661E-02  0.64510308E-02  0.68372207E-02
 -0.99222197E-02  0.98901611E-02  0.73466543E-02
 -0.13693454E-01  0.13662399E-01  0.81521366E-02
 -0.17643356E-01  0.17613473E-01  0.90757254E-02
 -0.21572472E-01  0.21543873E-01  0.99437902E-02
 -0.25255860E-01  0.25228605E-01  0.10599493E-01
 -0.28465677E-01  0.28439785E-01  0.10913355E-01
 -0.30994336E-01  0.30969797E-01  0.10791260E-01
 -0.32675949E-01  0.32652742E-01  0.10179463E-01
 -0.33403971E-01  0.33382075E-01  0.90663979E-02
 -0.33143348E-01  0.33122751E-01  0.74813285E-02
 -0.31935995E-01  0.31916706E-01  0.54901097E-02
 -0.29899076E-01  0.29881120E-01  0.31885270E-02
 -0.27216202E-01  0.27199619E-01  0.69383563E-03
