 -0.25956060E-06 -0.10815284E-06 -0.28606383E-06
  0.46666280E-03 -0.52431593E-03  0.32647937E-03
  0.91898363E-03 -0.10334947E-02  0.65305237E-03
  0.13431993E-02 -0.15137604E-02  0.97872357E-03
  0.17278364E-02 -0.19532889E-02  0.13018816E-02
  0.20641085E-02 -0.23429807E-02  0.16198235E-02
  0.23462325E-02 -0.26767830E-02  0.19288164E-02
  0.25714113E-02 -0.29516745E-02  0.22244072E-02
  0.27395430E-02 -0.31673751E-02  0.25019224E-02
  0.28527469E-02 -0.33258719E-02  0.27570659E-02
  0.29148041E-02 -0.34308600E-02  0.29864982E-02
  0.29305981E-02 -0.34871829E-02  0.31882900E-02
  0.29056138E-02 -0.35003309E-02  0.33621635E-02
  0.28455309E-02 -0.34760329E-02  0.35094829E-02
  0.27559210E-02 -0.34199485E-02  0.36329975E-02
  0.26420425E-02 -0.33374571E-02  0.37363925E-02
  0.25087192E-02 -0.32335263E-02  0.38237312E-02
  0.23602806E-02 -0.31126425E-02  0.38988899E-02
  0.22005461E-02 -0.29787843E-02  0.39650835E-02
  0.20328358E-02 -0.28354243E-02  0.40245550E-02
  0.18599969E-02 -0.26855496E-02  0.40784702E-02
  0.16844359E-02 -0.25316914E-02  0.41270178E-02
  0.15081545E-02 -0.23759624E-02  0.41696777E-02
  0.13327856E-02 -0.22200978E-02  0.42055935E-02
  0.11596301E-02 -0.20654997E-02  0.42339689E-02
  0.98969613E-03 -0.19132834E-02  0.42544113E-02
  0.82373888E-03 -0.17643249E-02  0.42671594E-02
  0.66230194E-03 -0.16193068E-02  0.42731580E-02
  0.50575875E-03 -0.14787604E-02  0.42739767E-02
  0.35435198E-03 -0.13431031E-02  0.42715958E-02
  0.20822890E-03 -0.12126681E-02  0.42681107E-02
  0.67470927E-04 -0.10877259E-02  0.42654181E-02
 -0.67883971E-04 -0.96849799E-03  0.42649476E-02
 -0.19782624E-03 -0.85516417E-03  0.42674932E-02
 -0.32236659E-03 -0.74786463E-03  0.42731766E-02
 -0.44153330E-03 -0.64669978E-03  0.42815478E-02
 -0.55537341E-03 -0.55172950E-03  0.42918018E-02
 -0.66395583E-03 -0.46297327E-03  0.43030665E-02
 -0.76737510E-03 -0.38041174E-03  0.43147033E-02
 -0.86575474E-03 -0.30398962E-03  0.43265588E-02
 -0.95924987E-03 -0.23361875E-03  0.43391169E-02
 -0.10480491E-02 -0.16918058E-03  0.43535162E-02
 -0.11323759E-02 -0.11052688E-03  0.43714288E-02
 -0.12124898E-02 -0.57478621E-04  0.43948182E-02
 -0.12886878E-02 -0.98231997E-05  0.44256239E-02
 -0.13613043E-02  0.32688663E-04  0.44654309E-02
 -0.14307113E-02  0.70344986E-04  0.45151909E-02
 -0.14973158E-02  0.10347196E-03  0.45750519E-02
 -0.15615552E-02  0.13242963E-03  0.46443332E-02
 -0.16238898E-02  0.15760349E-03  0.47216576E-02
 -0.16847919E-02  0.17939242E-03  0.48052214E-02
 -0.17447328E-02  0.19819442E-03  0.48931541E-02
 -0.18041677E-02  0.21439196E-03  0.49839049E-02
 -0.18635206E-02  0.22833908E-03  0.50765800E-02
 -0.19231703E-02  0.24035216E-03  0.51711666E-02
 -0.19834400E-02  0.25070569E-03  0.52685952E-02
 -0.20445918E-02  0.25963363E-03  0.53706225E-02
 -0.21068268E-02  0.26733623E-03  0.54795510E-02
 -0.21702933E-02  0.27399117E-03  0.55978302E-02
 -0.22351006E-02  0.27976752E-03  0.57276135E-02
 -0.23013377E-02  0.28484038E-03  0.58703499E-02
 -0.23690933E-02  0.28940379E-03  0.60264907E-02
 -0.24384741E-02  0.29367945E-03  0.61953690E-02
 -0.25096148E-02  0.29791918E-03  0.63752818E-02
  0.31424039E-03 -0.39804224E-03  0.87352467E-03
  0.28473866E-03 -0.38992110E-03  0.84503731E-03
  0.25030172E-03 -0.37588969E-03  0.81643012E-03
  0.21091171E-03 -0.35601489E-03  0.78777024E-03
  0.16662305E-03 -0.33046100E-03  0.75914558E-03
  0.11759170E-03 -0.29950802E-03  0.73066841E-03
  0.64098706E-04 -0.26356034E-03  0.70246737E-03
  0.65629277E-05 -0.22314250E-03  0.67467079E-03
 -0.54459819E-04 -0.17888136E-03  0.64738565E-03
 -0.11829186E-03 -0.13147620E-03  0.62067763E-03
 -0.18416029E-03 -0.81661818E-04  0.59455738E-03
 -0.25122977E-03 -0.30171432E-04  0.56897667E-03
