 -0.13426931E-06  0.39227068E-06 -0.51536539E-06
  0.62661799E-03 -0.76793370E-03  0.91540827E-03
  0.12258706E-02 -0.15043240E-02  0.18136376E-02
  0.17734721E-02 -0.21811605E-02  0.26781728E-02
  0.22511924E-02 -0.27783843E-02  0.34961182E-02
  0.26478904E-02 -0.32848543E-02  0.42585856E-02
  0.29592590E-02 -0.36977721E-02  0.49609957E-02
  0.31865192E-02 -0.40206796E-02  0.56028058E-02
  0.33346454E-02 -0.42608480E-02  0.61867841E-02
  0.34106681E-02 -0.44268649E-02  0.67180053E-02
  0.34224061E-02 -0.45269675E-02  0.72027478E-02
  0.33777366E-02 -0.45683112E-02  0.76474559E-02
  0.32843184E-02 -0.45570498E-02  0.80578847E-02
  0.31495910E-02 -0.44989053E-02  0.84385053E-02
  0.29808637E-02 -0.43998562E-02  0.87922002E-02
  0.27853609E-02 -0.42666304E-02  0.91202400E-02
  0.25701612E-02 -0.41068254E-02  0.94224992E-02
  0.23420308E-02 -0.39286213E-02  0.96978474E-02
  0.21071877E-02 -0.37401798E-02  0.99446387E-02
  0.18710491E-02 -0.35489003E-02  0.10161219E-01
  0.16380095E-02 -0.33607215E-02  0.10346384E-01
  0.14112860E-02 -0.31796358E-02  0.10499729E-01
  0.11928557E-02 -0.30075162E-02  0.10621871E-01
  0.98350092E-03 -0.28442869E-02  0.10714521E-01
  0.78296729E-03 -0.26883908E-02  0.10780434E-01
  0.59023244E-03 -0.25374549E-02  0.10823250E-01
  0.40386261E-03 -0.23890187E-02  0.10847281E-01
  0.22241768E-03 -0.22411914E-02  0.10857253E-01
  0.44844662E-04 -0.20931210E-02  0.10858047E-01
 -0.12921041E-03 -0.19452027E-02  0.10854445E-01
 -0.29924038E-03 -0.17990044E-02  0.10850896E-01
 -0.46391261E-03 -0.16569394E-02  0.10851290E-01
 -0.62131520E-03 -0.15217650E-02  0.10858761E-01
 -0.76938051E-03 -0.13960108E-02  0.10875506E-01
 -0.90640696E-03 -0.12814550E-02  0.10902665E-01
 -0.10315650E-02 -0.11787566E-02  0.10940260E-01
 -0.11452615E-02 -0.10873210E-02  0.10987248E-01
 -0.12492553E-02 -0.10054311E-02  0.11041705E-01
 -0.13464641E-02 -0.93062344E-03  0.11101147E-01
 -0.14404748E-02 -0.86023251E-03  0.11162977E-01
 -0.15348423E-02 -0.79199247E-03  0.11225018E-01
 -0.16323266E-02 -0.72456308E-03  0.11286042E-01
 -0.17342457E-02 -0.65786153E-03  0.11346225E-01
 -0.18401125E-02 -0.59311857E-03  0.11407411E-01
 -0.19476692E-02 -0.53263553E-03  0.11473130E-01
 -0.20533444E-02 -0.47928536E-03  0.11548313E-01
 -0.21530600E-02 -0.43586021E-03  0.11638735E-01
 -0.22432215E-02 -0.40440883E-03  0.11750236E-01
 -0.23216702E-02 -0.38571553E-03  0.11887864E-01
 -0.23883685E-02 -0.37904679E-03  0.12055073E-01
 -0.24456390E-02 -0.38223319E-03  0.12253155E-01
 -0.24978771E-02 -0.39207658E-03  0.12481019E-01
 -0.25507784E-02 -0.40499339E-03  0.12735408E-01
 -0.26102405E-02 -0.41774583E-03  0.13011538E-01
 -0.26811833E-02 -0.42808862E-03  0.13304067E-01
 -0.27665577E-02 -0.43517849E-03  0.13608249E-01
 -0.28667756E-02 -0.43965157E-03  0.13921033E-01
 -0.29796989E-02 -0.44335589E-03  0.14241921E-01
 -0.31011968E-02 -0.44881271E-03  0.14573377E-01
 -0.32261479E-02 -0.45854693E-03  0.14920695E-01
 -0.33496581E-02 -0.47445863E-03  0.15291304E-01
 -0.34682161E-02 -0.49739336E-03  0.15693633E-01
 -0.35805231E-02 -0.52701307E-03  0.16135704E-01
 -0.36878129E-02 -0.56198591E-03  0.16623742E-01
 -0.37935954E-02 -0.60042525E-03  0.17161052E-01
 -0.39028900E-02 -0.64044058E-03  0.17747394E-01
 -0.40211251E-02 -0.68063548E-03  0.18378996E-01
 -0.41529492E-02 -0.72040888E-03  0.19049214E-01
 -0.43012063E-02 -0.75997809E-03  0.19749724E-01
 -0.44662865E-02 -0.80012843E-03  0.20472017E-01
 -0.46459759E-02 -0.84177811E-03  0.21208889E-01
 -0.48358246E-02 -0.88550430E-03  0.21955614E-01
 -0.50299507E-02 -0.93118980E-03  0.22710523E-01
 -0.55727740E-03  0.23869504E-03  0.64958031E-03
 -0.62966374E-03  0.29213544E-03  0.63359055E-03
 -0.69636714E-03  0.34098993E-03  0.59776422E-03
 -0.75709579E-03  0.38522422E-03  0.54475538E-03
 -0.81220852E-03  0.42539234E-03  0.47965769E-03
 -0.86255039E-03  0.46252309E-03  0.40910870E-03
 -0.90938103E-03  0.49812364E-03  0.34014215E-03
 -0.95440417E-03  0.53428550E-03  0.27898315E-03
 -0.99983958E-03  0.57380819E-03  0.22999235E-03
 -0.10484309E-02  0.62021186E-03  0.19494216E-03
 -0.11032730E-02  0.67751023E-03  0.17275346E-03
 -0.11673805E-02  0.74966596E-03  0.15974493E-03
 -0.12429947E-02  0.83974106E-03  0.15035933E-03
 -0.13307239E-02  0.94886317E-03  0.13824831E-03
 -0.14286988E-02  0.10752209E-02  0.11753177E-03
 -0.15319701E-02  0.12133486E-02  0.84013057E-04
 -0.16323644E-02  0.13539392E-02  0.36132508E-04
 -0.17189318E-02  0.14843341E-02 -0.24518628E-04
 -0.17789909E-02  0.15896967E-02 -0.93230453E-04
 -0.17996313E-02  0.16547156E-02 -0.16276716E-03
 -0.17694175E-02  0.16655614E-02 -0.22443724E-03
 -0.16799828E-02  0.16117533E-02 -0.26947280E-03
 -0.15272328E-02  0.14876212E-02 -0.29049162E-03
 -0.13119740E-02  0.12931444E-02 -0.28279596E-03
 -0.10399238E-02  0.10340899E-02 -0.24528453E-03
 -0.72118261E-03  0.72150924E-03 -0.18081596E-03
 -0.36933049E-03  0.37074552E-03 -0.95951864E-04
 -0.32191023E-06  0.12919701E-06 -0.11127421E-06
  0.36869473E-03 -0.37048579E-03  0.95732971E-04
  0.72057079E-03 -0.72124628E-03  0.18060807E-03
  0.10393511E-02 -0.10338239E-02  0.24509507E-03
  0.13114542E-02 -0.12928783E-02  0.28263254E-03
  0.15267773E-02 -0.14873605E-02  0.29036201E-03
  0.16796000E-02 -0.16115052E-02  0.26938486E-03
  0.17691113E-02 -0.16653329E-02  0.22439871E-03
  0.17994008E-02 -0.16545116E-02  0.16278517E-03
  0.17788298E-02 -0.15895182E-02  0.93310872E-04
  0.17188290E-02 -0.14841773E-02  0.24665202E-04
  0.16323049E-02 -0.13537953E-02 -0.35919054E-04
  0.15319372E-02 -0.12132055E-02 -0.83735797E-04
  0.14286767E-02 -0.10750654E-02 -0.11719806E-03
  0.13307002E-02 -0.94868376E-03 -0.13786978E-03
  0.12429627E-02 -0.83953148E-03 -0.14995135E-03
  0.11673408E-02 -0.74942717E-03 -0.15932547E-03
  0.11032335E-02 -0.67725162E-03 -0.17234159E-03
  0.10484053E-02 -0.61995067E-03 -0.19455625E-03
  0.99984515E-03 -0.57356741E-03 -0.22964842E-03
