  0.00000000E+00 -0.64994121E-06  0.90420399E-07  0.12267192E-05
  0.69190456E-03  0.65804746E-04  0.69347204E-05 -0.32165301E-03
  0.13838091E-02  0.13225048E-03  0.13793110E-04 -0.64453031E-03
  0.20757137E-02  0.19867824E-03  0.20679835E-04 -0.96740253E-03
  0.27676182E-02  0.26507901E-03  0.27609116E-04 -0.12902670E-02
  0.34595228E-02  0.33144380E-03  0.34595144E-04 -0.16131211E-02
  0.41514274E-02  0.39776360E-03  0.41652064E-04 -0.19359622E-02
  0.48433319E-02  0.46402940E-03  0.48793970E-04 -0.22587877E-02
  0.55352365E-02  0.53023223E-03  0.56034887E-04 -0.25815950E-02
  0.62271410E-02  0.59636310E-03  0.63388766E-04 -0.29043815E-02
  0.69190456E-02  0.66241305E-03  0.70869472E-04 -0.32271448E-02
  0.76109502E-02  0.72837311E-03  0.78490771E-04 -0.35498823E-02
  0.83028547E-02  0.79423433E-03  0.86266322E-04 -0.38725916E-02
  0.89947593E-02  0.85998780E-03  0.94209666E-04 -0.41952704E-02
  0.96866638E-02  0.92562458E-03  0.10233422E-03 -0.45179162E-02
  0.10378568E-01  0.99113579E-03  0.11065324E-03 -0.48405267E-02
  0.11070473E-01  0.10565125E-02  0.11917987E-03 -0.51630998E-02
  0.11762378E-01  0.11217459E-02  0.12792707E-03 -0.54856331E-02
  0.12454282E-01  0.11868272E-02  0.13690763E-03 -0.58081247E-02
  0.13146187E-01  0.12517474E-02  0.14613417E-03 -0.61305724E-02
  0.13838091E-01  0.13164979E-02  0.15561912E-03 -0.64529742E-02
  0.14529996E-01  0.13810698E-02  0.16537470E-03 -0.67753283E-02
  0.15221900E-01  0.14454543E-02  0.17541294E-03 -0.70976328E-02
  0.15913805E-01  0.15096428E-02  0.18574565E-03 -0.74198858E-02
  0.16605709E-01  0.15736266E-02  0.19638440E-03 -0.77420858E-02
  0.17297614E-01  0.16373969E-02  0.20734054E-03 -0.80642312E-02
  0.17989519E-01  0.17009452E-02  0.21862517E-03 -0.83863203E-02
  0.18681423E-01  0.17642628E-02  0.23024914E-03 -0.87083518E-02
  0.19373328E-01  0.18273412E-02  0.24222304E-03 -0.90303244E-02
  0.20065232E-01  0.18901717E-02  0.25455718E-03 -0.93522369E-02
  0.20757137E-01  0.19527459E-02  0.26726161E-03 -0.96740880E-02
  0.21449041E-01  0.20150554E-02  0.28034609E-03 -0.99958767E-02
  0.22140946E-01  0.20770916E-02  0.29382009E-03 -0.10317602E-01
