  0.00000000E+00 -0.76648581E-06 -0.89573640E-06 -0.92768525E-06
  0.69190456E-03  0.53362896E-04  0.57176932E-05 -0.23245014E-03
  0.13838091E-02  0.10748640E-03  0.12339806E-04 -0.46397497E-03
  0.20757137E-02  0.16159794E-03  0.18979152E-04 -0.69550520E-03
  0.27676182E-02  0.21569145E-03  0.25644272E-04 -0.92704386E-03
  0.34595228E-02  0.26976085E-03  0.32343688E-04 -0.11585940E-02
  0.41514274E-02  0.32380006E-03  0.39085900E-04 -0.13901587E-02
  0.48433319E-02  0.37780300E-03  0.45879379E-04 -0.16217410E-02
  0.55352365E-02  0.43176361E-03  0.52732564E-04 -0.18533440E-02
  0.62271410E-02  0.48567580E-03  0.59653852E-04 -0.20849709E-02
  0.69190456E-02  0.53953351E-03  0.66651596E-04 -0.23166249E-02
  0.76109502E-02  0.59333067E-03  0.73734099E-04 -0.25483092E-02
  0.83028547E-02  0.64706120E-03  0.80909607E-04 -0.27800271E-02
  0.89947593E-02  0.70071904E-03  0.88186305E-04 -0.30117820E-02
  0.96866638E-02  0.75429814E-03  0.95572310E-04 -0.32435771E-02
  0.10378568E-01  0.80779242E-03  0.10307567E-03 -0.34754159E-02
  0.11070473E-01  0.86119582E-03  0.11070435E-03 -0.37073020E-02
  0.11762378E-01  0.91450230E-03  0.11846623E-03 -0.39392389E-02
  0.12454282E-01  0.96770579E-03  0.12636911E-03 -0.41712303E-02
  0.13146187E-01  0.10208002E-02  0.13442070E-03 -0.44032799E-02
  0.13838091E-01  0.10737796E-02  0.14262859E-03 -0.46353915E-02
  0.14529996E-01  0.11266379E-02  0.15100028E-03 -0.48675689E-02
  0.15221900E-01  0.11793690E-02  0.15954317E-03 -0.50998161E-02
  0.15913805E-01  0.12319669E-02  0.16826454E-03 -0.53321373E-02
  0.16605709E-01  0.12844255E-02  0.17717153E-03 -0.55645365E-02
  0.17297614E-01  0.13367389E-02  0.18627119E-03 -0.57970180E-02
  0.17989519E-01  0.13889010E-02  0.19557042E-03 -0.60295862E-02
  0.18681423E-01  0.14409058E-02  0.20507599E-03 -0.62622454E-02
  0.19373328E-01  0.14927473E-02  0.21479455E-03 -0.64950002E-02
  0.20065232E-01  0.15444195E-02  0.22473257E-03 -0.67278553E-02
  0.20757137E-01  0.15959163E-02  0.23489641E-03 -0.69608155E-02
  0.21449041E-01  0.16472318E-02  0.24529227E-03 -0.71938856E-02
  0.22140946E-01  0.16983599E-02  0.25592618E-03 -0.74270706E-02
  0.22832850E-01  0.17492947E-02  0.26680402E-03 -0.76603756E-02
  0.23524755E-01  0.18000303E-02  0.27793152E-03 -0.78938058E-02
  0.24216660E-01  0.18505605E-02  0.28931422E-03 -0.81273666E-02
  0.24908564E-01  0.19008795E-02  0.30095751E-03 -0.83610633E-02
  0.25600469E-01  0.19509813E-02  0.31286658E-03 -0.85949016E-02
  0.26292373E-01  0.20008598E-02  0.32504646E-03 -0.88288871E-02
  0.26984278E-01  0.20505093E-02  0.33750200E-03 -0.90630257E-02
  0.27676182E-01  0.20999236E-02  0.35023785E-03 -0.92973232E-02
  0.28368087E-01  0.21490970E-02  0.36325849E-03 -0.95317857E-02
  0.29059992E-01  0.21980233E-02  0.37656819E-03 -0.97664194E-02
  0.29751896E-01  0.22466968E-02  0.39017103E-03 -0.10001231E-01
  0.30443801E-01  0.22951115E-02  0.40407089E-03 -0.10236226E-01
  0.31135705E-01  0.23432614E-02  0.41827147E-03 -0.10471411E-01
  0.31827610E-01  0.23911408E-02  0.43277624E-03 -0.10706793E-01
  0.32519514E-01  0.24387435E-02  0.44758847E-03 -0.10942379E-01
  0.33211419E-01  0.24860639E-02  0.46271124E-03 -0.11178176E-01
  0.33903323E-01  0.25330960E-02  0.47814739E-03 -0.11414190E-01
  0.34595228E-01  0.25798339E-02  0.49389957E-03 -0.11650429E-01
  0.35287133E-01  0.26262717E-02  0.50997021E-03 -0.11886900E-01
  0.35979037E-01  0.26724037E-02  0.52636151E-03 -0.12123610E-01
  0.36670942E-01  0.27182239E-02  0.54307548E-03 -0.12360567E-01
  0.37362846E-01  0.27637265E-02  0.56011387E-03 -0.12597778E-01
  0.38054751E-01  0.28089057E-02  0.57747825E-03 -0.12835250E-01
  0.38746655E-01  0.28537556E-02  0.59516994E-03 -0.13072992E-01
  0.39438560E-01  0.28982705E-02  0.61319005E-03 -0.13311011E-01
  0.40130464E-01  0.29424445E-02  0.63153945E-03 -0.13549315E-01
  0.40822369E-01  0.29862719E-02  0.65021880E-03 -0.13787912E-01
  0.41514274E-01  0.30297469E-02  0.66922853E-03 -0.14026810E-01
  0.42206178E-01  0.30728637E-02  0.68856883E-03 -0.14266017E-01
  0.42898083E-01  0.31156165E-02  0.70823969E-03 -0.14505542E-01
  0.43589987E-01  0.31579995E-02  0.72824084E-03 -0.14745392E-01
  0.44281892E-01  0.32000072E-02  0.74857181E-03 -0.14985576E-01
  0.44973796E-01  0.32416337E-02  0.76923188E-03 -0.15226103E-01
  0.45665701E-01  0.32828733E-02  0.79022011E-03 -0.15466980E-01
  0.46357606E-01  0.33237203E-02  0.81153536E-03 -0.15708216E-01
  0.47049510E-01  0.33641691E-02  0.83317621E-03 -0.15949820E-01
  0.47741415E-01  0.34042139E-02  0.85514107E-03 -0.16191800E-01
  0.48433319E-01  0.34438492E-02  0.87742808E-03 -0.16434165E-01
  0.49125224E-01  0.34830692E-02  0.90003519E-03 -0.16676924E-01
  0.49817128E-01  0.35218683E-02  0.92296011E-03 -0.16920084E-01
  0.50509033E-01  0.35602410E-02  0.94620032E-03 -0.17163655E-01
  0.51200937E-01  0.35981816E-02  0.96975311E-03 -0.17407645E-01
  0.51892842E-01  0.36356846E-02  0.99361552E-03 -0.17652063E-01
  0.52584747E-01  0.36727443E-02  0.10177844E-02 -0.17896917E-01
  0.53276651E-01  0.37093553E-02  0.10422564E-02 -0.18142217E-01
  0.53968556E-01  0.37455120E-02  0.10670278E-02 -0.18387970E-01
  0.54660460E-01  0.37812090E-02  0.10920950E-02 -0.18634185E-01
  0.55352365E-01  0.38164406E-02  0.11174539E-02 -0.18880870E-01
  0.56044269E-01  0.38512016E-02  0.11431002E-02 -0.19128035E-01
  0.56736174E-01  0.38854863E-02  0.11690297E-02 -0.19375686E-01
  0.57428078E-01  0.39192895E-02  0.11952376E-02 -0.19623834E-01
  0.58119983E-01  0.39526056E-02  0.12217191E-02 -0.19872485E-01
  0.58811888E-01  0.39854294E-02  0.12484694E-02 -0.20121649E-01
  0.59503792E-01  0.40177554E-02  0.12754831E-02 -0.20371332E-01
  0.60195697E-01  0.40495784E-02  0.13027549E-02 -0.20621543E-01
  0.60887601E-01  0.40808930E-02  0.13302792E-02 -0.20872291E-01
  0.61579506E-01  0.41116939E-02  0.13580504E-02 -0.21123582E-01
  0.62271410E-01  0.41419761E-02  0.13860625E-02 -0.21375424E-01
  0.62963315E-01  0.41717341E-02  0.14143094E-02 -0.21627826E-01
  0.63655219E-01  0.42009628E-02  0.14427848E-02 -0.21880793E-01
  0.64347124E-01  0.42296571E-02  0.14714825E-02 -0.22134334E-01
  0.65039029E-01  0.42578118E-02  0.15003957E-02 -0.22388455E-01
  0.65730933E-01  0.42854219E-02  0.15295179E-02 -0.22643163E-01
  0.66422838E-01  0.43124823E-02  0.15588421E-02 -0.22898465E-01
  0.67114742E-01  0.43389880E-02  0.15883613E-02 -0.23154368E-01
  0.67806647E-01  0.43649340E-02  0.16180684E-02 -0.23410878E-01
  0.68498551E-01  0.43903153E-02  0.16479561E-02 -0.23668000E-01
  0.69190456E-01  0.44151270E-02  0.16780170E-02 -0.23925742E-01
  0.69882361E-01  0.44393644E-02  0.17082437E-02 -0.24184108E-01
  0.70574265E-01  0.44630225E-02  0.17386283E-02 -0.24443104E-01
  0.71266170E-01  0.44860965E-02  0.17691633E-02 -0.24702736E-01
  0.71958074E-01  0.45085818E-02  0.17998406E-02 -0.24963007E-01
  0.72649979E-01  0.45304736E-02  0.18306525E-02 -0.25223924E-01
  0.73341883E-01  0.45517674E-02  0.18615908E-02 -0.25485491E-01
  0.74033788E-01  0.45724584E-02  0.18926474E-02 -0.25747711E-01
  0.74725692E-01  0.45925422E-02  0.19238140E-02 -0.26010589E-01
  0.75417597E-01  0.46120142E-02  0.19550825E-02 -0.26274128E-01
  0.76109502E-01  0.46308701E-02  0.19864443E-02 -0.26538332E-01
  0.76801406E-01  0.46491054E-02  0.20178912E-02 -0.26803204E-01
  0.77493311E-01  0.46667158E-02  0.20494146E-02 -0.27068746E-01
  0.78185215E-01  0.46836971E-02  0.20810060E-02 -0.27334961E-01
  0.78877120E-01  0.47000449E-02  0.21126567E-02 -0.27601851E-01
  0.79569024E-01  0.47157552E-02  0.21443584E-02 -0.27869418E-01
  0.80260929E-01  0.47308239E-02  0.21761021E-02 -0.28137664E-01
  0.80952833E-01  0.47452470E-02  0.22078794E-02 -0.28406588E-01
  0.81644738E-01  0.47590204E-02  0.22396815E-02 -0.28676193E-01
  0.82336643E-01  0.47721403E-02  0.22714998E-02 -0.28946478E-01
  0.83028547E-01  0.47846029E-02  0.23033255E-02 -0.29217443E-01
  0.83720452E-01  0.47964045E-02  0.23351500E-02 -0.29489088E-01
  0.84412356E-01  0.48075412E-02  0.23669646E-02 -0.29761412E-01
  0.85104261E-01  0.48180096E-02  0.23987606E-02 -0.30034415E-01
  0.85796165E-01  0.48278061E-02  0.24305295E-02 -0.30308093E-01
  0.86488070E-01  0.48369273E-02  0.24622625E-02 -0.30582447E-01
  0.87179975E-01  0.48453697E-02  0.24939512E-02 -0.30857472E-01
  0.87871879E-01  0.48531302E-02  0.25255871E-02 -0.31133167E-01
  0.88563784E-01  0.48602055E-02  0.25571616E-02 -0.31409527E-01
  0.89255688E-01  0.48665924E-02  0.25886664E-02 -0.31686551E-01
  0.89947593E-01  0.48722879E-02  0.26200931E-02 -0.31964232E-01
  0.90639497E-01  0.48772892E-02  0.26514335E-02 -0.32242568E-01
  0.91331402E-01  0.48815933E-02  0.26826794E-02 -0.32521552E-01
  0.92023306E-01  0.48851975E-02  0.27138227E-02 -0.32801180E-01
  0.92715211E-01  0.48880992E-02  0.27448554E-02 -0.33081446E-01
  0.93407116E-01  0.48902956E-02  0.27757696E-02 -0.33362343E-01
  0.94099020E-01  0.48917845E-02  0.28065575E-02 -0.33643865E-01
  0.94790925E-01  0.48925634E-02  0.28372115E-02 -0.33926004E-01
  0.95482829E-01  0.48926300E-02  0.28677239E-02 -0.34208753E-01
  0.96174734E-01  0.48919822E-02  0.28980874E-02 -0.34492103E-01
  0.96866638E-01  0.48906178E-02  0.29282946E-02 -0.34776047E-01
  0.97558543E-01  0.48885351E-02  0.29583384E-02 -0.35060575E-01
  0.98250447E-01  0.48857321E-02  0.29882118E-02 -0.35345677E-01
  0.98942352E-01  0.48822070E-02  0.30179079E-02 -0.35631343E-01
  0.99634257E-01  0.48779583E-02  0.30474200E-02 -0.35917563E-01
  0.10032616E+00  0.48729845E-02  0.30767416E-02 -0.36204326E-01
  0.10101807E+00  0.48672841E-02  0.31058663E-02 -0.36491621E-01
  0.10170997E+00  0.48608559E-02  0.31347880E-02 -0.36779434E-01
  0.10240187E+00  0.48536987E-02  0.31635006E-02 -0.37067755E-01
  0.10309378E+00  0.48458115E-02  0.31919982E-02 -0.37356570E-01
  0.10378568E+00  0.48371934E-02  0.32202754E-02 -0.37645866E-01
  0.10447759E+00  0.48278435E-02  0.32483266E-02 -0.37935628E-01
  0.10516949E+00  0.48177613E-02  0.32761466E-02 -0.38225843E-01
  0.10586140E+00  0.48069461E-02  0.33037304E-02 -0.38516495E-01
  0.10655330E+00  0.47953976E-02  0.33310731E-02 -0.38807569E-01
  0.10724521E+00  0.47831155E-02  0.33581703E-02 -0.39099050E-01
  0.10793711E+00  0.47700996E-02  0.33850175E-02 -0.39390921E-01
  0.10862902E+00  0.47563500E-02  0.34116106E-02 -0.39683165E-01
  0.10932092E+00  0.47418666E-02  0.34379456E-02 -0.39975765E-01
  0.11001283E+00  0.47266499E-02  0.34640190E-02 -0.40268703E-01
  0.11070473E+00  0.47107001E-02  0.34898272E-02 -0.40561962E-01
  0.11139663E+00  0.46940178E-02  0.35153670E-02 -0.40855522E-01
  0.11208854E+00  0.46766036E-02  0.35406356E-02 -0.41149364E-01
  0.11278044E+00  0.46584583E-02  0.35656302E-02 -0.41443469E-01
  0.11347235E+00  0.46395830E-02  0.35903483E-02 -0.41737816E-01
  0.11416425E+00  0.46199786E-02  0.36147878E-02 -0.42032386E-01
  0.11485616E+00  0.45996463E-02  0.36389467E-02 -0.42327157E-01
  0.11554806E+00  0.45785877E-02  0.36628233E-02 -0.42622108E-01
  0.11623997E+00  0.45568040E-02  0.36864163E-02 -0.42917217E-01
  0.11693187E+00  0.45342971E-02  0.37097244E-02 -0.43212461E-01
  0.11762378E+00  0.45110686E-02  0.37327467E-02 -0.43507819E-01
  0.11831568E+00  0.44871206E-02  0.37554828E-02 -0.43803266E-01
